source_uid,source_experiment,mode,harness,model_label,model_family,model_name,rollout,task_slug,answer_sha256,answer_chars,old_minimax_score_0_to_4,old_deepseek_score_0_to_4,old_minimax_golden_sha256,old_deepseek_golden_sha256,old_score_status
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-2,2026-07-15-direct-qa,direct_qa,,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],2,part1-015-malformed-cmos-inverter,30b9693e541d31025e41215b39d1f7b73861f3c831410440d80cceb765c2754c,2824,3,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-3,2026-07-15-direct-qa,direct_qa,,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],3,part1-015-malformed-cmos-inverter,0b73a5da78b2ffd65e64a453bd0fdcf5763c25d9adff4f1fd40243501c2ac520,2664,4,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-1,2026-07-15-direct-qa,direct_qa,,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part1-015-malformed-cmos-inverter,c6b14f328ffd47d81eaf97cb4fedf197ead642b2b4775b5f56fd48167f64963d,1699,3,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-2,2026-07-15-direct-qa,direct_qa,,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part1-015-malformed-cmos-inverter,17a69a88ed75d016d4ae79b5e05e081891d44f48361526033ceeb59e6fc72ad2,1313,4,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-3,2026-07-15-direct-qa,direct_qa,,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],3,part1-015-malformed-cmos-inverter,738cd2fa4293cbc9b637fbfe57338dfb0ff1946ad0be3fad38d2a1acc13e90a6,1190,3,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-1,2026-07-18-direct-qa,direct_qa,,kimi-for-coding,kimi,kimi-for-coding,1,part1-015-malformed-cmos-inverter,858bc7f21f1b07b0be5decab0c8d26e105c233da18eafddb62b9b73a935aae1d,3564,2,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-2,2026-07-18-direct-qa,direct_qa,,kimi-for-coding,kimi,kimi-for-coding,2,part1-015-malformed-cmos-inverter,078238a6cf6d2061853997ebb17c69decb2d73058ee426e3fe021b7dac08b203,4017,4,4,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-3,2026-07-18-direct-qa,direct_qa,,kimi-for-coding,kimi,kimi-for-coding,3,part1-015-malformed-cmos-inverter,bbddf06b3fbce2b62c81a26d755a594ab7143b3cf2e6815b6698b8f025924019,2392,4,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-cc-kimi-v44-full50::agentic_multimodal::kimi-k2-7-plus-claude-code::rollout-1,agentic-cc-kimi-v44-full50,agentic_multimodal,claude-code,Kimi K2.7 + Claude Code,kimi,kimi-k2.7-code,1,part1-015-malformed-cmos-inverter,2e2877c48d23427b33b0993c2fae4c5ebd6a2eaa03aa14c963b0ec0f8c0f71df,1158,1,1,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-cc-kimi-v44-full50::agentic_multimodal::kimi-k2-7-plus-claude-code::rollout-2,agentic-cc-kimi-v44-full50,agentic_multimodal,claude-code,Kimi K2.7 + Claude Code,kimi,kimi-k2.7-code,2,part1-015-malformed-cmos-inverter,37cbeca8ea72e047b69210fffd34705354a046b94710de1c6be5771fda2d0c55,1155,3,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-cc-kimi-v44-full50::agentic_multimodal::kimi-k2-7-plus-claude-code::rollout-3,agentic-cc-kimi-v44-full50,agentic_multimodal,claude-code,Kimi K2.7 + Claude Code,kimi,kimi-k2.7-code,3,part1-015-malformed-cmos-inverter,cb298e622da9048728471463f2ef56ea3239f7157f1e22ab871de63f7dd7cb4f,950,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::claude-opus-4-8-plus-claude-code::rollout-1,agentic-mm-v44-full50,agentic_multimodal,claude-code,Claude Opus 4.8 + Claude Code,claude,Claude Opus 4.8 + Claude Code,1,part1-015-malformed-cmos-inverter,6e999ab4c1b8ab3dfbb3a9fb6ce8d16d0b63dbd9c05efd78b49e2b1b9e2d1089,2923,4,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::claude-opus-4-8-plus-claude-code::rollout-2,agentic-mm-v44-full50,agentic_multimodal,claude-code,Claude Opus 4.8 + Claude Code,claude,Claude Opus 4.8 + Claude Code,2,part1-015-malformed-cmos-inverter,9118be00c856572f6292d21f746245c493b1eacf585aafaecd9e21ca6ab5001d,3447,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::claude-opus-4-8-plus-claude-code::rollout-3,agentic-mm-v44-full50,agentic_multimodal,claude-code,Claude Opus 4.8 + Claude Code,claude,Claude Opus 4.8 + Claude Code,3,part1-015-malformed-cmos-inverter,1d7106c33f174a8fbbcf3dbe36605f11fe7a5b11b41252773b7b192a59283f6a,4200,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::gpt-plus-codex::rollout-1,agentic-mm-v44-full50,agentic_multimodal,codex,GPT + Codex,gpt,GPT + Codex,1,part1-015-malformed-cmos-inverter,e82f6b442cd1fd89cf46226511988e98403d25633fbf5c4da1791f23bda94ee9,841,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::gpt-plus-codex::rollout-2,agentic-mm-v44-full50,agentic_multimodal,codex,GPT + Codex,gpt,GPT + Codex,2,part1-015-malformed-cmos-inverter,22dd12b98062dcaae5bb78d99b5a73ceaf97d89218fcc2ddb6baea35ef305c28,878,2,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::gpt-plus-codex::rollout-3,agentic-mm-v44-full50,agentic_multimodal,codex,GPT + Codex,gpt,GPT + Codex,3,part1-015-malformed-cmos-inverter,96e97e39f968101e08d4d1adaa475d80d52b12b40014a91fefe996ee2042d2f3,919,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::minimax-m3-plus-claude-code::rollout-1,agentic-mm-v44-full50,agentic_multimodal,claude-code,MiniMax-M3 + Claude Code,minimax,MiniMax-M3 + Claude Code,1,part1-015-malformed-cmos-inverter,2be6aaaa92e54601f2471cccd7205b8fe1e39a38cb5a0503e636b4f1aaa4e0c7,2137,1,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::minimax-m3-plus-claude-code::rollout-2,agentic-mm-v44-full50,agentic_multimodal,claude-code,MiniMax-M3 + Claude Code,minimax,MiniMax-M3 + Claude Code,2,part1-015-malformed-cmos-inverter,79b7c996d0f5b69845b464a32522c6855b651684e84e4185cff604e64eb1a2ac,2360,1,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
agentic-mm-v44-full50::agentic_multimodal::minimax-m3-plus-claude-code::rollout-3,agentic-mm-v44-full50,agentic_multimodal,claude-code,MiniMax-M3 + Claude Code,minimax,MiniMax-M3 + Claude Code,3,part1-015-malformed-cmos-inverter,1977b1c2910e834c9d183a7aee1156d33b9114e29960597f4c0ae208aca22ea8,2629,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
direct-mm-current-thinking-209157-full50::direct_qa::minimax-m3-209157::rollout-1,direct-mm-current-thinking-209157-full50,direct_qa,,MiniMax-M3 (209157),minimax,Minimax-M3-token-plan-ultra,1,part1-015-malformed-cmos-inverter,fbf6dfd517258e404064962dbef7189e28f39d5d8a7afa31634eb044cccebddb,2378,0,0,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
direct-mm-current-thinking-209157-full50::direct_qa::minimax-m3-209157::rollout-2,direct-mm-current-thinking-209157-full50,direct_qa,,MiniMax-M3 (209157),minimax,Minimax-M3-token-plan-ultra,2,part1-015-malformed-cmos-inverter,1d2d2f65114e3268609cbf4f5d6f39dd24923f77c31e5714fd759040956f3f75,1890,0,0,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
direct-mm-current-thinking-209157-full50::direct_qa::minimax-m3-209157::rollout-3,direct-mm-current-thinking-209157-full50,direct_qa,,MiniMax-M3 (209157),minimax,Minimax-M3-token-plan-ultra,3,part1-015-malformed-cmos-inverter,0dc686ba8f6b176335f451e19a76b03b683d0e73776ac7facaa86c6015f1fea4,3054,1,2,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
direct-mm-current-thinking-full50-doubao-kimi::direct_qa::kimi-k2-7-code::rollout-1,direct-mm-current-thinking-full50-doubao-kimi,direct_qa,,Kimi K2.7 Code,kimi,kimi-k2.7-code,1,part1-015-malformed-cmos-inverter,107ab3e3ce28548accf5a9b6f1b0e4a20e7bc761d15d571a80fa209a72a4ffda,2727,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
direct-mm-current-thinking-full50-doubao-kimi::direct_qa::kimi-k2-7-code::rollout-2,direct-mm-current-thinking-full50-doubao-kimi,direct_qa,,Kimi K2.7 Code,kimi,kimi-k2.7-code,2,part1-015-malformed-cmos-inverter,7652bdeaa0221a956f0250256085b82b4ed6dc730733723b6401ed5178ce22af,3928,3,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
direct-mm-current-thinking-full50-doubao-kimi::direct_qa::kimi-k2-7-code::rollout-3,direct-mm-current-thinking-full50-doubao-kimi,direct_qa,,Kimi K2.7 Code,kimi,kimi-k2.7-code,3,part1-015-malformed-cmos-inverter,0ed227ce55b72e23d40d148734b1aa8fa0b180f4d0c7b1ab11a59e4804d1d78d,2772,2,3,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,d0552b399f44adc37a73930331fb2832431a2b3d6269e2967d02181598ea0f2d,superseded_by_2026-07-19-part1-q15-score-correction
