source_uid,source_experiment,mode,model_key,model_label,model_family,model_name,rollout,judge_family,judge_model,part,n_judgments,old_avg_percent,new_avg_percent,delta_percent,new_avg_score_0_to_4,new_score_distribution
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-1,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,1,deepseek,deepseek-v4-pro,all,50,82.5,81.0,-1.5,3.24,"{""0"": 3, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 34}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-2,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,2,minimax,MiniMax-M3,part1_first_30,30,88.33333333333333,85.83333333333333,-2.5,3.433333333333333,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0, ""4"": 24}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-2,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,2,minimax,MiniMax-M3,all,50,77.0,75.5,-1.5,3.02,"{""0"": 3, ""1"": 8, ""2"": 5, ""3"": 3, ""4"": 31}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-2,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,2,deepseek,deepseek-v4-pro,part1_first_30,30,85.0,82.5,-2.5,3.3,"{""0"": 4, ""1"": 1, ""2"": 1, ""3"": 0, ""4"": 24}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-2,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,2,deepseek,deepseek-v4-pro,all,50,76.5,75.0,-1.5,3.0,"{""0"": 4, ""1"": 8, ""2"": 5, ""3"": 0, ""4"": 33}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-3,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,3,minimax,MiniMax-M3,part1_first_30,30,89.16666666666667,86.66666666666667,-2.5,3.466666666666667,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 3, ""4"": 23}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-3,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,3,minimax,MiniMax-M3,all,50,84.0,82.5,-1.5,3.3,"{""0"": 2, ""1"": 6, ""2"": 1, ""3"": 7, ""4"": 34}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-3,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,3,deepseek,deepseek-v4-pro,part1_first_30,30,88.33333333333333,85.83333333333333,-2.5,3.433333333333333,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 24}"
2026-06-26-direct-qa::direct_qa::gpt-5-5-thinking-xhigh::rollout-3,2026-06-26-direct-qa,direct_qa,gpt_55,GPT-5.5 Thinking XHigh,gpt,GPT-5.5 Thinking XHigh,3,deepseek,deepseek-v4-pro,all,50,86.0,84.5,-1.5,3.38,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 37}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-1,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],1,minimax,MiniMax-M3,part1_first_30,30,96.66666666666667,94.16666666666667,-2.5,3.7666666666666666,"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 1, ""4"": 27}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-1,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],1,minimax,MiniMax-M3,all,50,94.0,92.5,-1.5,3.7,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 3, ""4"": 43}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-1,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],1,deepseek,deepseek-v4-pro,part1_first_30,30,100.0,96.66666666666667,-3.3333333333333286,3.8666666666666667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-1,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],1,deepseek,deepseek-v4-pro,all,50,97.5,95.5,-2.0,3.82,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 0, ""4"": 47}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-2,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],2,minimax,MiniMax-M3,part1_first_30,30,97.5,95.0,-2.5,3.8,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 27}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-2,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],2,minimax,MiniMax-M3,all,50,91.5,90.0,-1.5,3.6,"{""0"": 1, ""1"": 4, ""2"": 1, ""3"": 2, ""4"": 42}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-2,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],2,deepseek,deepseek-v4-pro,part1_first_30,30,100.0,96.66666666666667,-3.3333333333333286,3.8666666666666667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-2,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],2,deepseek,deepseek-v4-pro,all,50,93.5,91.5,-2.0,3.66,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0, ""4"": 44}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-3,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],3,minimax,MiniMax-M3,part1_first_30,30,99.16666666666667,95.83333333333334,-3.3333333333333286,3.8333333333333335,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 28}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-3,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],3,minimax,MiniMax-M3,all,50,93.5,91.5,-2.0,3.66,"{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 3, ""4"": 42}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-3,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],3,deepseek,deepseek-v4-pro,part1_first_30,30,100.0,96.66666666666667,-3.3333333333333286,3.8666666666666667,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29}"
2026-07-15-direct-qa::direct_qa::claude-fable-5-1m-proxy-plus-direct::rollout-3,2026-07-15-direct-qa,direct_qa,claude_fable_5,claude-fable-5[1m][proxy+direct],claude,claude-fable-5[1m][proxy+direct],3,deepseek,deepseek-v4-pro,all,50,94.5,92.5,-2.0,3.7,"{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 44}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-1,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],1,minimax,MiniMax-M3,part1_first_30,30,93.33333333333333,90.83333333333333,-2.5,3.6333333333333333,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 26}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-1,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],1,minimax,MiniMax-M3,all,50,86.5,85.0,-1.5,3.4,"{""0"": 1, ""1"": 5, ""2"": 4, ""3"": 3, ""4"": 37}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-1,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],1,deepseek,deepseek-v4-pro,part1_first_30,30,95.0,91.66666666666666,-3.333333333333343,3.6666666666666665,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 27}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-1,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],1,deepseek,deepseek-v4-pro,all,50,87.5,85.5,-2.0,3.42,"{""0"": 1, ""1"": 4, ""2"": 5, ""3"": 3, ""4"": 37}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-2,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],2,minimax,MiniMax-M3,part1_first_30,30,96.66666666666667,93.33333333333333,-3.333333333333343,3.7333333333333334,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 27}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-2,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],2,minimax,MiniMax-M3,all,50,87.0,85.0,-2.0,3.4,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 36}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-2,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],2,deepseek,deepseek-v4-pro,part1_first_30,30,96.66666666666667,93.33333333333333,-3.333333333333343,3.7333333333333334,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 27}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-2,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],2,deepseek,deepseek-v4-pro,all,50,89.5,87.5,-2.0,3.5,"{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 4, ""4"": 38}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-3,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],3,minimax,MiniMax-M3,part1_first_30,30,94.16666666666667,91.66666666666666,-2.500000000000014,3.6666666666666665,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 26}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-3,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],3,minimax,MiniMax-M3,all,50,88.5,87.0,-1.5,3.48,"{""0"": 1, ""1"": 4, ""2"": 3, ""3"": 4, ""4"": 38}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-3,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],3,deepseek,deepseek-v4-pro,part1_first_30,30,93.33333333333333,90.0,-3.3333333333333286,3.6,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 3, ""4"": 24}"
2026-07-15-direct-qa::direct_qa::gpt-5-6-sol-pro-thinking-max-direct::rollout-3,2026-07-15-direct-qa,direct_qa,gpt_56,gpt-5.6-sol-pro-thinking-max[direct],gpt,gpt-5.6-sol-pro-thinking-max[direct],3,deepseek,deepseek-v4-pro,all,50,87.5,85.5,-2.0,3.42,"{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 6, ""4"": 35}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-1,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,1,minimax,MiniMax-M3,part1_first_30,30,85.0,83.33333333333334,-1.6666666666666572,3.3333333333333335,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 1, ""4"": 23}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-1,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,1,minimax,MiniMax-M3,all,50,76.5,75.5,-1.0,3.02,"{""0"": 2, ""1"": 12, ""2"": 2, ""3"": 1, ""4"": 33}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-1,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,1,deepseek,deepseek-v4-pro,part1_first_30,30,87.5,84.16666666666667,-3.3333333333333286,3.3666666666666667,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 1, ""4"": 23}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-1,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,1,deepseek,deepseek-v4-pro,all,50,78.5,76.5,-2.0,3.06,"{""0"": 2, ""1"": 8, ""2"": 6, ""3"": 3, ""4"": 31}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-2,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,2,minimax,MiniMax-M3,part1_first_30,30,83.33333333333334,80.0,-3.333333333333343,3.2,"{""0"": 3, ""1"": 3, ""2"": 1, ""3"": 1, ""4"": 22}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-2,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,2,minimax,MiniMax-M3,all,50,78.0,76.0,-2.0,3.04,"{""0"": 3, ""1"": 8, ""2"": 4, ""3"": 4, ""4"": 31}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-2,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,2,deepseek,deepseek-v4-pro,part1_first_30,30,85.83333333333333,82.5,-3.3333333333333286,3.3,"{""0"": 2, ""1"": 3, ""2"": 2, ""3"": 0, ""4"": 23}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-2,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,2,deepseek,deepseek-v4-pro,all,50,79.5,77.5,-2.0,3.1,"{""0"": 2, ""1"": 7, ""2"": 6, ""3"": 4, ""4"": 31}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-3,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,3,minimax,MiniMax-M3,part1_first_30,30,89.16666666666667,85.83333333333333,-3.333333333333343,3.433333333333333,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 1, ""4"": 24}"
2026-07-18-direct-qa::direct_qa::kimi-for-coding::rollout-3,2026-07-18-direct-qa,direct_qa,kimi_k3,kimi-for-coding,kimi,kimi-for-coding,3,minimax,MiniMax-M3,all,50,79.0,77.0,-2.0,3.08,"{""0"": 1, ""1"": 12, ""2"": 2, ""3"": 2, ""4"": 33}"
