model,judge,rollout,part1,part2,overall
Llama 4 Maverick,DeepSeek V4 Pro,3,55.00000000000001,46.25,51.5
Qwen 3.7 Flash,MiniMax M3,1,86.66666666666667,60.0,76.0
Qwen 3.7 Flash,MiniMax M3,2,87.5,52.5,73.5
Qwen 3.7 Flash,MiniMax M3,3,85.83333333333333,57.49999999999999,74.5
Qwen 3.7 Flash,DeepSeek V4 Pro,1,88.33333333333333,63.74999999999999,78.5
Qwen 3.7 Flash,DeepSeek V4 Pro,2,90.83333333333333,60.0,78.5
Qwen 3.7 Flash,DeepSeek V4 Pro,3,92.5,63.74999999999999,81.0
Qwen 3.7 Plus,MiniMax M3,1,87.5,68.75,80.0
Qwen 3.7 Plus,MiniMax M3,2,89.16666666666667,50.0,73.5
Qwen 3.7 Plus,MiniMax M3,3,91.66666666666666,65.0,81.0
Qwen 3.7 Plus,DeepSeek V4 Pro,1,87.5,75.0,82.5
Qwen 3.7 Plus,DeepSeek V4 Pro,2,90.83333333333333,63.74999999999999,80.0
Qwen 3.7 Plus,DeepSeek V4 Pro,3,91.66666666666666,71.25,83.5
Step 3.7 Flash,MiniMax M3,1,68.33333333333333,63.74999999999999,66.5
Step 3.7 Flash,MiniMax M3,2,69.16666666666667,62.5,66.5
Step 3.7 Flash,MiniMax M3,3,65.83333333333333,68.75,67.0
Step 3.7 Flash,DeepSeek V4 Pro,1,70.0,67.5,69.0
Step 3.7 Flash,DeepSeek V4 Pro,2,74.16666666666667,67.5,71.5
Step 3.7 Flash,DeepSeek V4 Pro,3,73.33333333333333,73.75,73.5
