judge_model,source_judge_runs,answer_model_family,answer_model_name,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part1_first_30,30,30,3.66667,91.6667,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 27}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part2_last_20,20,20,3.05,76.25,"{""0"": 0, ""1"": 2, ""2"": 5, ""3"": 3, ""4"": 10}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,all,50,50,3.5,87.5,"{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 4, ""4"": 38}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part1_first_30,30,30,3.73333,93.3333,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 27}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part2_last_20,20,20,3.15,78.75,"{""0"": 0, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 11}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],3,all,50,50,3.42,85.5,"{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 6, ""4"": 35}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],3,part1_first_30,30,30,3.6,90,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 3, ""4"": 24}"
deepseek-v4-pro,deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/claude-fable-5-208665-rollout-3.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-1.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-2.deepseek-v4-pro.scores.jsonl;deepseek-v4-pro-20260716/gpt-5.6-sol-pro-209351-rollout-3.deepseek-v4-pro.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],3,part2_last_20,20,20,3.15,78.75,"{""0"": 0, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 11}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],1,all,50,50,3.7,92.5,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 3, ""4"": 43}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],1,part1_first_30,30,30,3.76667,94.1667,"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 1, ""4"": 27}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],1,part2_last_20,20,20,3.6,90,"{""0"": 0, ""1"": 2, ""2"": 0, ""3"": 2, ""4"": 16}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],2,all,50,50,3.6,90,"{""0"": 1, ""1"": 4, ""2"": 1, ""3"": 2, ""4"": 42}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],2,part1_first_30,30,30,3.8,95,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 27}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],2,part2_last_20,20,20,3.3,82.5,"{""0"": 0, ""1"": 4, ""2"": 1, ""3"": 0, ""4"": 15}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],3,all,50,50,3.66,91.5,"{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 3, ""4"": 42}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],3,part1_first_30,30,30,3.83333,95.8333,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 28}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,claude,claude-fable-5[1m][proxy+direct],3,part2_last_20,20,20,3.4,85,"{""0"": 0, ""1"": 2, ""2"": 2, ""3"": 2, ""4"": 14}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,all,50,50,3.4,85,"{""0"": 1, ""1"": 5, ""2"": 4, ""3"": 3, ""4"": 37}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part1_first_30,30,30,3.63333,90.8333,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 26}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],1,part2_last_20,20,20,3.05,76.25,"{""0"": 0, ""1"": 3, ""2"": 4, ""3"": 2, ""4"": 11}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,all,50,50,3.4,85,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 36}"
MiniMax-M3,minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/claude-fable-5-208665-rollout-3.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-1.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-2.minimax-m3-no-thinking.scores.jsonl;minimax-m3-no-thinking-20260716/gpt-5.6-sol-pro-209351-rollout-3.minimax-m3-no-thinking.scores.jsonl,gpt,gpt-5.6-sol-pro-thinking-max[direct],2,part1_first_30,30,30,3.73333,93.3333,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 27}"
